07/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,025210084",1,"1,025210084",1,"1,025210084",1,-,-,"1,025210084",1,"0,00%","1,0000%"
08/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0152757079",1,"1,0152757079",1,"1,0152757079",1,-,-,"1,0152757079",1,"0,00%","1,0000%"
09/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0047706422",1,"1,0047706422",1,"1,0047706422",1,-,-,"1,0047706422",1,"0,00%","1,0000%"
10/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0069393718",1,"1,0069393718",1,"1,0069393718",1,-,-,"1,0069393718",1,"0,00%","1,0000%"
11/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0141458107",1,"1,0141458107",1,"1,0141458107",1,-,-,"1,0141458107",1,"0,00%","1,0000%"
12/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0185979971",1,"1,0185979971",1,"1,0185979971",1,-,-,"1,0185979971",1,"0,00%","1,0000%"
01/1968,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0175561798",1,"1,0175561798",1,"1,0175561798",1,-,-,"1,0175561798",1,"0,00%","1,0000%"
02/1968,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0144927536",1,"1,0144927536",1,"1,0144927536",1,-,-,"1,0144927536",1,"0,00%","1,0000%"
03/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0146258503",1,"1,0146258503",1,"1,0146258503",1,-,-,"1,0146258503",1,"0,00%","1,0000%"
04/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0187730473",1,"1,0187730473",1,"1,0187730473",1,-,-,"1,0187730473",1,"0,00%","1,0000%"
05/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0266535044",1,"1,0266535044",1,"1,0266535044",1,-,-,"1,0266535044",1,"0,00%","1,0000%"
06/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,028525641",1,"1,028525641",1,"1,028525641",1,-,-,"1,028525641",1,"0,00%","1,0000%"
07/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0224368962",1,"1,0224368962",1,"1,0224368962",1,-,-,"1,0224368962",1,"0,00%","1,0000%"
08/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0182871076",1,"1,0182871076",1,"1,0182871076",1,-,-,"1,0182871076",1,"0,00%","1,0000%"
09/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0140676444",1,"1,0140676444",1,"1,0140676444",1,-,-,"1,0140676444",1,"0,00%","1,0000%"
10/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0150531287",1,"1,0150531287",1,"1,0150531287",1,-,-,"1,0150531287",1,"0,00%","1,0000%"
11/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0162838034",1,"1,0162838034",1,"1,0162838034",1,-,-,"1,0162838034",1,"0,00%","1,0000%"
12/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0191702432",1,"1,0191702432",1,"1,0191702432",1,-,-,"1,0191702432",1,"0,00%","1,0000%"
01/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0182481752",1,"1,0182481752",1,"1,0182481752",1,-,-,"1,0182481752",1,"0,00%","1,0000%"
02/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,017645437",1,"1,017645437",1,"1,017645437",1,-,-,"1,017645437",1,"0,00%","1,0000%"
03/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0140883229",1,"1,0140883229",1,"1,0140883229",1,-,-,"1,0140883229",1,"0,00%","1,0000%"
04/1969,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0154955918",1,"1,0154955918",1,"1,0154955918",1,-,-,"1,0154955918",1,"0,00%","1,0000%"
05/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0123651671",1,"1,0123651671",1,"1,0123651671",1,-,-,"1,0123651671",1,"0,00%","1,0000%"
06/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0135135135",1,"1,0135135135",1,"1,0135135135",1,-,-,"1,0135135135",1,"0,00%","1,0000%"
07/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0069230769",1,"1,0069230769",1,"1,0069230769",1,-,-,"1,0069230769",1,"0,00%","1,0000%"
08/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0073847721",1,"1,0073847721",1,"1,0073847721",1,-,-,"1,0073847721",1,"0,00%","1,0000%"
09/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0091001011",1,"1,0091001011",1,"1,0091001011",1,-,-,"1,0091001011",1,"0,00%","1,0000%"
10/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0162825651",1,"1,0162825651",1,"1,0162825651",1,-,-,"1,0162825651",1,"0,00%","1,0000%"
11/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,020951442",1,"1,020951442",1,"1,020951442",1,-,-,"1,020951442",1,"0,00%","1,0000%"
12/1969,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0224529213",1,"1,0224529213",1,"1,0224529213",1,-,-,"1,0224529213",1,"0,00%","1,0000%"
01/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0224321133",1,"1,0224321133",1,"1,0224321133",1,-,-,"1,0224321133",1,"0,00%","1,0000%"
02/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0200923788",1,"1,0200923788",1,"1,0200923788",1,-,-,"1,0200923788",1,"0,00%","1,0000%"
03/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0113199004",1,"1,0113199004",1,"1,0113199004",1,-,-,"1,0113199004",1,"0,00%","1,0000%"
04/1970,156,-,1560,1560,FALSE,-,-,1,"0,000001","1,0091784195",1,"1,0091784195",1,"1,0091784195",1,-,-,"1,0091784195",1,"0,00%","1,0000%"
05/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0093167702",1,"1,0093167702",1,"1,0093167702",1,-,-,"1,0093167702",1,"0,00%","1,0000%"
06/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0153846154",1,"1,0153846154",1,"1,0153846154",1,-,-,"1,0153846154",1,"0,00%","1,0000%"
07/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0088744589",1,"1,0088744589",1,"1,0088744589",1,-,-,"1,0088744589",1,"0,00%","1,0000%"
08/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0094400343",1,"1,0094400343",1,"1,0094400343",1,-,-,"1,0094400343",1,"0,00%","1,0000%"
09/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0119022317",1,"1,0119022317",1,"1,0119022317",1,-,-,"1,0119022317",1,"0,00%","1,0000%"
10/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0189035917",1,"1,0189035917",1,"1,0189035917",1,-,-,"1,0189035917",1,"0,00%","1,0000%"
11/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0212327355",1,"1,0212327355",1,"1,0212327355",1,-,-,"1,0212327355",1,"0,00%","1,0000%"
12/1970,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0195801373",1,"1,0195801373",1,"1,0195801373",1,-,-,"1,0195801373",1,"0,00%","1,0000%"
01/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0184121956",1,"1,0184121956",1,"1,0184121956",1,-,-,"1,0184121956",1,"0,00%","1,0000%"
02/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0132192846",1,"1,0132192846",1,"1,0132192846",1,-,-,"1,0132192846",1,"0,00%","1,0000%"
03/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0099769762",1,"1,0099769762",1,"1,0099769762",1,-,-,"1,0099769762",1,"0,00%","1,0000%"
04/1971,"187,2",-,1872,1872,FALSE,-,-,1,"0,000001","1,0115881459",1,"1,0115881459",1,"1,0115881459",1,-,-,"1,0115881459",1,"0,00%","1,0000%"
05/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0142723005",1,"1,0142723005",1,"1,0142723005",1,-,-,"1,0142723005",1,"0,00%","1,0000%"
06/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0198111461",1,"1,0198111461",1,"1,0198111461",1,-,-,"1,0198111461",1,"0,00%","1,0000%"
07/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0199709513",1,"1,0199709513",1,"1,0199709513",1,-,-,"1,0199709513",1,"0,00%","1,0000%"
08/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,021003916",1,"1,021003916",1,"1,021003916",1,-,-,"1,021003916",1,"0,00%","1,0000%"
09/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0217921897",1,"1,0217921897",1,"1,0217921897",1,-,-,"1,0217921897",1,"0,00%","1,0000%"
10/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0201330831",1,"1,0201330831",1,"1,0201330831",1,-,-,"1,0201330831",1,"0,00%","1,0000%"
11/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0163907008",1,"1,0163907008",1,"1,0163907008",1,-,-,"1,0163907008",1,"0,00%","1,0000%"
12/1971,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0123416159",1,"1,0123416159",1,"1,0123416159",1,-,-,"1,0123416159",1,"0,00%","1,0000%"
01/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0120286086",1,"1,0120286086",1,"1,0120286086",1,-,-,"1,0120286086",1,"0,00%","1,0000%"
02/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0133311918",1,"1,0133311918",1,"1,0133311918",1,-,-,"1,0133311918",1,"0,00%","1,0000%"
03/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0114122682",1,"1,0114122682",1,"1,0114122682",1,-,-,"1,0114122682",1,"0,00%","1,0000%"
04/1972,"225,6",-,2562,2562,FALSE,-,-,1,"0,000001","1,0133207961",1,"1,0133207961",1,"1,0133207961",1,-,-,"1,0133207961",1,"0,00%","1,0000%"
05/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,016857408",1,"1,016857408",1,"1,016857408",1,-,-,"1,016857408",1,"0,00%","1,0000%"
06/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0179467681",1,"1,0179467681",1,"1,0179467681",1,-,-,"1,0179467681",1,"0,00%","1,0000%"
07/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0143433438",1,"1,0143433438",1,"1,0143433438",1,-,-,"1,0143433438",1,"0,00%","1,0000%"
08/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0083959346",1,"1,0083959346",1,"1,0083959346",1,-,-,"1,0083959346",1,"0,00%","1,0000%"
09/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0071574642",1,"1,0071574642",1,"1,0071574642",1,-,-,"1,0071574642",1,"0,00%","1,0000%"
10/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0095721537",1,"1,0095721537",1,"1,0095721537",1,-,-,"1,0095721537",1,"0,00%","1,0000%"
11/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0066082459",1,"1,0066082459",1,"1,0066082459",1,-,-,"1,0066082459",1,"0,00%","1,0000%"
12/1972,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0114171543",1,"1,0114171543",1,"1,0114171543",1,-,-,"1,0114171543",1,"0,00%","1,0000%"
01/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,00987724",1,"1,00987724",1,"1,00987724",1,-,-,"1,00987724",1,"0,00%","1,0000%"
02/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0104792511",1,"1,0104792511",1,"1,0104792511",1,-,-,"1,0104792511",1,"0,00%","1,0000%"
03/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0120298673",1,"1,0120298673",1,"1,0120298673",1,-,-,"1,0120298673",1,"0,00%","1,0000%"
04/1973,"268,8",-,2688,2688,FALSE,-,-,1,"0,000001","1,0114769777",1,"1,0114769777",1,"1,0114769777",1,-,-,"1,0114769777",1,"0,00%","1,0000%"
05/1973,312,-,3120,3120,FALSE,-,-,1,"0,000001","1,012697555",1,"1,012697555",1,"1,012697555",1,-,-,"1,012697555",1,"0,00%","1,0000%"
06/1973,312,-,5200,5200,FALSE,-,-,1,"0,000001","1,0110710951",1,"1,0110710951",1,"1,0110710951",1,-,-,"1,0110710951",1,"0,00%","1,0000%"
07/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0089709763",1,"1,0089709763",1,"1,0089709763",1,-,-,"1,0089709763",1,"0,00%","1,0000%"
08/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0083682008",1,"1,0083682008",1,"1,0083682008",1,-,-,"1,0083682008",1,"0,00%","1,0000%"
09/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0097251037",1,"1,0097251037",1,"1,0097251037",1,-,-,"1,0097251037",1,"0,00%","1,0000%"
10/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0068062155",1,"1,0068062155",1,"1,0068062155",1,-,-,"1,0068062155",1,"0,00%","1,0000%"
11/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0085459184",1,"1,0085459184",1,"1,0085459184",1,-,-,"1,0085459184",1,"0,00%","1,0000%"
12/1973,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0196028835",1,"1,0196028835",1,"1,0196028835",1,-,-,"1,0196028835",1,"0,00%","1,0000%"
01/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0105432895",1,"1,0105432895",1,"1,0105432895",1,-,-,"1,0105432895",1,"0,00%","1,0000%"
02/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0149748374",1,"1,0149748374",1,"1,0149748374",1,-,-,"1,0149748374",1,"0,00%","1,0000%"
03/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0125770952",1,"1,0125770952",1,"1,0125770952",1,-,-,"1,0125770952",1,"0,00%","1,0000%"
04/1974,312,-,6240,6240,FALSE,-,-,1,"0,000001","1,0163621163",1,"1,0163621163",1,"1,0163621163",1,-,-,"1,0163621163",1,"0,00%","1,0000%"
05/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,0212690952",1,"1,0212690952",1,"1,0212690952",1,-,-,"1,0212690952",1,"0,00%","1,0000%"
06/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,0332527902",1,"1,0332527902",1,"1,0332527902",1,-,-,"1,0332527902",1,"0,00%","1,0000%"
07/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,043986637",1,"1,043986637",1,"1,043986637",1,-,-,"1,043986637",1,"0,00%","1,0000%"
08/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,04768",1,"1,04768",1,"1,04768",1,-,-,"1,04768",1,"0,00%","1,0000%"
09/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,037466911",1,"1,037466911",1,"1,037466911",1,-,-,"1,037466911",1,"0,00%","1,0000%"
10/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,0215897939",1,"1,0215897939",1,"1,0215897939",1,-,-,"1,0215897939",1,"0,00%","1,0000%"
11/1974,"376,8",-,7536,7536,FALSE,-,-,1,"0,000001","1,0125840538",1,"1,0125840538",1,"1,0125840538",1,-,-,"1,0125840538",1,"0,00%","1,0000%"
12/1974,"415,2",-,7536,7536,FALSE,-,-,1,"0,000001","1,012807134",1,"1,012807134",1,"1,012807134",1,-,-,"1,012807134",1,"0,00%","1,0000%"
01/1975,"415,2",-,7536,7536,FALSE,-,-,1,"0,000001","1,0151742226",1,"1,0151742226",1,"1,0151742226",1,-,-,"1,0151742226",1,"0,00%","1,0000%"
02/1975,"415,2",-,7536,7536,FALSE,-,-,1,"0,000001","1,0166082303",1,"1,0166082303",1,"1,0166082303",1,-,-,"1,0166082303",1,"0,00%","1,0000%"
03/1975,"415,2",-,7536,7536,FALSE,-,-,1,"0,000001","1,0187874387",1,"1,0187874387",1,"1,0187874387",1,-,-,"1,0187874387",1,"0,00%","1,0000%"
04/1975,"415,2",-,7536,7536,FALSE,-,-,1,"0,000001","1,0199554566",1,"1,0199554566",1,"1,0199554566",1,-,-,"1,0199554566",1,"0,00%","1,0000%"
