CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
03/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0148270181","4,6291084565","1,0148270181","2,3149941091","1,0148270181","3604706,28516414",-,-,"1,0148270181","0,0032921976","0,00%","1,0000%"
04/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0150162338","4,5614753784","1,0150162338","2,2811711432","1,0150162338","3552040,12190688",-,-,"1,0150162338","0,0032440973","0,00%","1,0000%"
05/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0179928029","4,493992536","1,0179928029","2,2474233095","1,0179928029","3499490,9477723",-,-,"1,0179928029","0,0031961039","0,00%","1,0000%"
06/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0282796544","4,4145621887","1,0282796544","2,207700588","1,0282796544","3437638,20124844",-,-,"1,0282796544","0,0031396134","0,00%","1,0000%"
07/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,025210084","4,2931532973","1,025210084","2,1469846054","1,025210084","3343096,58532411",-,-,"1,025210084","0,0030532681","0,00%","1,0000%"
08/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0152757079","4,187583954","1,0152757079","2,094189902","1,0152757079","3260889,29224238",-,-,"1,0152757079","0,0029781877","0,00%","1,0000%"
09/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0047706422","4,1245781036","1,0047706422","2,0626809897","1,0047706422","3211826,37078111",-,-,"1,0047706422","0,0029333783","0,00%","1,0000%"
10/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0069393718","4,104994643","1,0069393718","2,0528873984","1,0069393718","3196576,64732598",-,-,"1,0069393718","0,0029194506","0,00%","1,0000%"
11/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0141458107","4,0767048721","1,0141458107","2,0387398248","1,0141458107","3174547,28341623",-,-,"1,0141458107","0,0028993311","0,00%","1,0000%"
12/1967,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0185979971","4,019840963","1,0185979971","2,0103024667","1,0185979971","3130267,11744582",-,-,"1,0185979971","0,0028588898","0,00%","1,0000%"
01/1968,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0175561798","3,9464449903","1,0175561798","1,9735975059","1,0175561798","3073113,36389696",-,-,"1,0175561798","0,002806691","0,00%","1,0000%"
02/1968,105,-,1050,1050,FALSE,-,-,1,"0,000001","1,0144927536","3,8783558773","1,0144927536","1,9395464793","1,0144927536","3020092,08432662",-,-,"1,0144927536","0,0027582663","0,00%","1,0000%"
03/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0146258503","3,8229507933","1,0146258503","1,9118386724","1,0146258503","2976947,91169338",-,-,"1,0146258503","0,0027188625","0,00%","1,0000%"
04/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0187730473","3,7678428872","1,0187730473","1,8842794827","1,0187730473","2934035,15265791",-,-,"1,0187730473","0,0026796701","0,00%","1,0000%"
05/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0266535044","3,6984124161","1,0266535044","1,8495576495","1,0266535044","2879969,35188502",-,-,"1,0266535044","0,0026302915","0,00%","1,0000%"
06/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,028525641","3,6023959399","1,028525641","1,8015402875","1,028525641","2805200,91678799",-,-,"1,028525641","0,0025620051","0,00%","1,0000%"
07/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0224368962","3,5024853015","1,0224368962","1,7515754743","1,0224368962","2727400,08114009",-,-,"1,0224368962","0,0024909492","0,00%","1,0000%"
08/1968,"129,6",-,1296,1296,FALSE,-,-,1,"0,000001","1,0182871076","3,4256249108","1,0182871076","1,7131379753","1,0182871076","2667548,57067313",-,-,"1,0182871076","0,0024362864","0,00%","1,0000%"
