CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
06/1988,"10.368,00","6.984,00","139.680,00","106.340,00",FALSE,-,-,"1,0000000000","0,0000010000","1,1953003470","0,07884163234588","1,1953003470","0,0418155112","1,2228000000","38,6076906323","1,2200000000",-,"1,1953003470","0,0000558776","20,17%","1,0000%"
07/1988,"12.444,00","8.376,00","167.520,00","127.540,00",FALSE,-,-,"1,0000000000","0,0000010000","1,2403989338","0,06595968330705","1,2403989338","0,0349832670","1,2302000000","31,5731850117","1,2191000000",-,"1,2403989338","0,0000467478","24,69%","1,0000%"
08/1988,"15.552,00","10.464,00","209.280,00","159.340,00",FALSE,-,-,"1,0000000000","0,0000010000","1,2065998144","0,05317618510266","1,2065998144","0,0282032385","1,2063000000","25,6650829229","1,2159000000",-,"1,2065998144","0,0000376877","22,63%","1,0000%"
09/1988,"18.960,00","12.702,00","254.040,00","193.420,00",FALSE,-,-,"1,0000000000","0,0000010000","1,2400984925","0,04407110333450","1,2400984925","0,0233741446","1,2693000000","21,2758707808","1,2745000000",-,"1,2400984925","0,0000312346","26,25%","1,0000%"
10/1988,"23.700,00","15.756,00","315.120,00","239.920,00",TRUE,-,"0,26689900","1,0000000000","0,0000010000","1,2724995702","0,03553838957195","1,2724995702","0,0188486195","1,2669000000","16,7618929968","1,2562000000",-,"1,2724995702","0,0000251872","29,79%","1,0000%"
11/1988,"30.800,00","20.476,00","409.520,00","311.800,00",TRUE,"0,26689900","0,28150000","1,0000000000","0,0000010000","1,2692007110","0,02792801695547","1,2692007110","0,0148122796","1,2815000000","13,2306361960","1,2794000000",-,"1,2692007110","0,0000197935","28,41%","1,0000%"
12/1988,"40.425,00","25.595,00","511.900,00","389.760,00",TRUE,"0,28150000","0,28430100","0,0010000000","0,0000010000","1,2879005780","0,02200441325982","1,2879005780","0,0116705573","1,2843000000","10,3243356973","1,2870000000",-,"1,2879005780","0,0000155952","30,24%","1,0000%"
01/1989,"54,37","31,86","637,32","485,26",TRUE,"0,28430100","0,35479900","1,0000000000","0,0010000000","1,4272000000","17,08549063194600","1,4272000000","9,0616911770","1,3548000000","8.038,8816454587","1,3749000000",-,"1,4272000000","0,0121090412","22,97%","1,0000%"
02/1989,"63,90","36,74","734,80","559,42",TRUE,"(0,99864520)","0,33145800","1,0000000000","0,0010000000","1,1014000000","11,97133592485000","1,1014000000","6,3492791319","1,1635000000","5.933,6297944041","1,1678000000",-,"1,1014000000","0,0084844740","18,95%","1,0000%"
03/1989,"63,90","36,74","734,80","559,42",FALSE,-,"0,14435500","1,0000000000","0,0010000000","1,0609073359","10,86919913278560","1,0609073359","5,7647350026","1,0590000000","5.099,8107386370","1,0682000000",-,"1,0609073359","0,0077033539","20,41%","1,0000%"
04/1989,"63,90","36,74","734,80","559,42",FALSE,-,"0,08060000","1,0000000000","0,0010000000","1,0730597762","10,24519179471010","1,0730597762","5,4337780572","1,0806000000","4.815,6853056062","1,0833000000",-,"1,0730597762","0,0072610996","11,52%","1,0000%"
05/1989,"81,40","46,80","936,00","720,00",TRUE,"0,33145800","0,16670000","1,0000000000","0,0010000000","1,0993725623","9,54764312494988","1,0993725623","5,0638167396","1,1667000000","4.456,4920466465","1,1792000000",-,"1,0993725623","0,0067667243","11,43%","1,0000%"
06/1989,"120,00",-,"936,00","720,00",TRUE,"0,16670000","0,29400000","1,0000000000","0,0010000000","1,2483418171","8,68462926235220","1,2483418171","4,6060970713","1,2940000000","3.819,7411902344","1,2865000000",-,"1,2483418171","0,0061550784","27,29%","1,0000%"
07/1989,"149,80",-,"1.500,00","1.500,00",TRUE,"0,29400000","0,27400000","1,0000000000","0,0010000000","1,2875942172","6,95693210278381","1,2875942172","3,6897723111","1,2740000000","2.951,8865457762","1,2774000000",-,"1,2875942172","0,0049306034","33,15%","1,0000%"
08/1989,"192,88",-,"1.931,40","1.931,40",TRUE,"0,27400000","0,33180000","1,0000000000","0,0010000000","1,2934120244","5,40304702344699","1,2934120244","2,8656328692","1,3318000000","2.317,0224064177","1,3371000000",-,"1,2934120244","0,0038293146","35,49%","1,0000%"
09/1989,"249,48",-,"2.498,07","2.498,07",TRUE,"0,33180000","0,36350000","1,0000000000","0,0010000000","1,3595117970","4,17735951237790","1,3595117970","2,2155607148","1,3635000000","1.739,7675374814","1,3756000000",-,"1,3595117970","0,0029606301","38,58%","1,0000%"
10/1989,"381,73",-,"3.396,13","3.396,13",TRUE,"0,36350000","0,38760000","1,0000000000","0,0010000000","1,3762108767","3,07269088917670","1,3762108767","1,6296737694","1,3876000000","1.275,9571231987","1,3977000000",-,"1,3762108767","0,0021777157","47,70%","1,0000%"
11/1989,"557,33",-,"4.673,75","4.673,75",TRUE,"0,38760000","0,48470000","1,0000000000","0,0010000000","1,4142047032","2,23271806748738","1,4142047032","1,1841744582","1,4847000000","919,5424641097","1,4782000000",-,"1,4142047032","0,0015823997","48,41%","1,0000%"
12/1989,"788,18",-,"6.609,62","6.609,62",TRUE,"0,48470000","0,51280000","1,0000000000","0,0010000000","1,5354999720","1,57877997610424","1,5354999720","0,8373430350","1,5128000000","619,3456348823","1,5150000000",-,"1,5354999720","0,0011189326","64,21%","1,0000%"
01/1990,"1.283,95",-,"10.149,07","10.149,07",TRUE,"0,51280000","0,68190000","1,0000000000","0,0010000000","1,5610949798","1,02818626176207","1,5610949798","0,5453227289","1,6819000000","409,4035132749","1,6755000000",-,"1,5610949798","0,0007287089","67,60%","1,0000%"
02/1990,"2.004,37",-,"15.843,71","15.843,71",TRUE,"0,68190000","0,73990000","1,0000000000","0,0010000000","1,7278028637","0,65863145744033","1,7278028637","0,3493206602","1,7399000000","243,4172740799","1,7573000000",-,"1,7278028637","0,0004667935","82,04%","1,0000%"
03/1990,"3.674,06",-,"27.374,76","27.374,76",TRUE,"0,73990000","1,24176800","1,0000000000","0,0010000000","1,8432000000","0,38119595196889","1,8432000000","0,2021762248","1,8218000000","139,9030255071","1,8239000000",-,"1,8432000000","0,0002701659","36,76%","1,0000%"
04/1990,"3.674,06",-,"27.374,76","27.374,76",FALSE,-,"0,23052400","1,0000000000","0,0010000000","1,4480000000","0,20681203991368","1,4480000000","0,1096876220","1,1467000000","76,7938442788","1,1552000000",-,"1,4480000000","0,0001465744","4,23%","1,0000%"
05/1990,"3.674,06",-,"27.374,76","27.374,76",FALSE,-,"0,07310000","1,0000000000","0,0010000000","1,0787000000","0,14282599441552","1,0787000000","0,0757511201","1,0731000000","66,9694290388","1,0759000000",-,"1,0787000000","0,0001012254","5,69%","1,0000%"
06/1990,"3.857,76",-,"28.847,52","28.847,52",TRUE,"1,24176800","0,11640000","1,0000000000","0,0010000000","1,0955000000","0,13240566831883","1,0955000000","0,0702244555","1,1164000000","62,4074448223","1,1175000000",-,"1,0955000000","0,0000938402","8,73%","1,0000%"
07/1990,"4.904,76",-,"36.676,74","36.676,74",TRUE,"0,11640000","0,12620000","1,0000000000","0,0010000000","1,1292000000","0,12086322986657","1,1292000000","0,0641026522","1,1262000000","55,9006134202","1,1292000000",-,"1,1292000000","0,0000856597","13,79%","1,0000%"
08/1990,"5.203,46",-,"38.910,35","38.910,35",TRUE,"0,12620000","0,12180000","1,0000000000","0,0010000000","1,1203000000","0,10703438705860","1,1203000000","0,0567682007","1,1218000000","49,6364885635","1,1288000000",-,"1,1203000000","0,0000758587","11,53%","1,0000%"
09/1990,"6.056,31",-,"45.287,76","45.287,76",TRUE,"0,12180000","0,14260000","1,0000000000","0,0010000000","1,1276000000","0,09554082572400","1,1276000000","0,0506723205","1,1426000000","44,2471818180","1,1441000000",-,"1,1276000000","0,0000677129","15,21%","1,0000%"
10/1990,"6.425,14",-,"48.045,78","48.045,78",TRUE,"0,14260000","0,14430000","1,0000000000","0,0010000000","1,1420000000","0,08472935945726","1,1420000000","0,0449382055","1,1443000000","38,7249972152","1,1436000000",-,"1,1420000000","0,0000600504","16,49%","1,0000%"
11/1990,"8.329,55",-,"62.286,55","62.286,55",TRUE,"0,14430000","0,16920000","1,0000000000","0,0010000000","1,1558000000","0,07419383490128","1,1558000000","0,0393504426","1,1692000000","33,8416474833","1,1681000000",-,"1,1558000000","0,0000525836","19,83%","1,0000%"
12/1990,"8.836,82",-,"66.079,80","66.079,80",TRUE,"0,16920000","0,19140000","1,0000000000","0,0010000000","1,1830000000","0,06419262407101","1,1830000000","0,0340460656","1,1914000000","28,9442759864","1,1844000000",-,"1,1830000000","0,0000454954","22,86%","1,0000%"
01/1991,"12.325,60",-,"92.168,11","92.168,11",TRUE,"0,19140000","0,20950000","1,0000000000","0,0010000000","1,1991000000","0,05426257317922","1,1991000000","0,0287794299","1,2095000000","24,2943394212","1,2075000000",-,"1,1991000000","0,0000384576","21,02%","1,0000%"
02/1991,"15.895,46",-,"118.859,99","118.859,99",TRUE,"0,20950000","0,20198400","1,0000000000","0,0010000000","1,2187000000","0,04525275054559","1,2187000000","0,0240008589","1,2020000000","20,0862665740","1,2072000000",-,"1,2187000000","0,0000320721","6,85%","1,0000%"
03/1991,"17.000,00",-,"127.120,76","127.120,76",TRUE,"0,20198400","1,47060000","1,0000000000","0,0010000000","1,1179000000","0,03713198534963","1,1179000000","0,0196938204","1,1179000000","16,7107043045","1,1192000000",-,"1,1179000000","0,0000263166","8,99%","1,0000%"
04/1991,"17.000,00",-,"127.120,76","127.120,76",FALSE,-,"1,12490000","1,0000000000","0,0010000000","1,0501000000","0,03321583804421","1,0501000000","0,0176167997","1,0501000000","14,9482997625","1,0499000000",-,"1,0501000000","0,0000235411","9,67%","1,0000%"
05/1991,"17.000,00",-,"127.120,76","127.120,76",FALSE,-,"0,82750000","1,0000000000","0,0010000000","1,0668000000","0,03163111898316","1,0668000000","0,0167763067","1,0668000000","14,2351202385","1,0743000000",-,"1,0668000000","0,0000224180","9,56%","1,0000%"
06/1991,"17.000,00",-,"127.120,76","127.120,76",FALSE,-,"0,57180000","1,0000000000","0,0010000000","1,1083000000","0,02965046773824","1,1083000000","0,0157258218","1,1083000000","13,3437572539","1,1119000000",-,"1,1083000000","0,0000210142","10,32%","1,0000%"
07/1991,"17.000,00",-,"127.120,76","127.120,76",FALSE,-,"0,35190000","1,0000000000","0,0010000000","1,1214000000","0,02675310632342","1,1214000000","0,0141891382","1,1214000000","12,0398423296","1,1241000000",-,"1,1214000000","0,0000189608","12,39%","1,0000%"
08/1991,"17.000,00",-,"170.000,00","170.000,00",FALSE,-,"0,16270000","1,0000000000","0,0010000000","1,1562000000","0,02385688097326","1,1562000000","0,0126530571","1,1562000000","10,7364386746","1,1563000000",-,"1,1562000000","0,0000169081","15,75%","1,0000%"
09/1991,"42.000,00",-,"420.002,00","420.000,00",TRUE,"1,47060000","1,19823400","1,0000000000","0,0010000000","1,1562000000","0,02063387041452","1,1562000000","0,0109436577","1,1562000000","9,2859701389","1,1563000000",-,"1,1562000000","0,0000146239","19,78%","1,0000%"
10/1991,"42.000,00",-,"420.002,00","420.000,00",FALSE,-,"0,90125800","1,0000000000","0,0010000000","1,2108000000","0,01784628127877","1,2108000000","0,0094651944","1,2108000000","8,0314566155","1,2023000000",-,"1,2108000000","0,0000126482","25,95%","1,0000%"
11/1991,"42.000,00",-,"420.002,00","420.000,00",FALSE,-,"0,57024900","1,0000000000","0,0010000000","1,2648000000","0,01473924783513","1,2648000000","0,0078173062","1,2648000000","6,6331818760","1,2521000000",-,"1,2648000000","0,0000104462","32,43%","1,0000%"
12/1991,"42.000,00",-,"420.002,00","420.000,00",FALSE,-,"0,24150000","1,0000000000","0,0010000000","1,2415000000","0,01165342175453","1,2415000000","0,0061806659","1,2415000000","5,2444511986","1,2371000000","1,2288000000","1,2288000000","0,0000082592","31,17%","1,0000%"
