01/1967;84000;-;840000;840000;FALSE;-;-;1;1E-06;0,00102367628067;0,00453812843058;0,0010236763;0,002406903;0,0010236763;3533,8597551181;-;-;0,0010236763;3,7933E-06;0,00%;1,0000%
02/1967;84;-;840;840;FALSE;-;-;1;1E-06;1,02102607232969;4,43316751229281;1,0210260723;2,3512344947;1,0210260723;3452126,24522293;-;-;1,0210260723;0,0037055454;0,00%;1,0000%
03/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01482701812191;4,34187493584527;1,0148270181;2,3028153329;1,0148270181;3381036,33078258;-;-;1,0148270181;0,0036292368;0,00%;1,0000%
04/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01501623376623;4,27843845139299;1,0150162338;2,2691703037;1,0150162338;3331638,07270297;-;-;1,0150162338;0,0035762122;0,00%;1,0000%
05/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01799280287885;4,21514288054071;1,0179928029;2,2356000113;1,0179928029;3282349,54463819;-;-;1,0179928029;0,0035233054;0,00%;1,0000%
06/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,02827965435978;4,14064114070398;1,0282796544;2,1960862641;1,0282796544;3224334,72550672;-;-;1,0282796544;0,0034610318;0,00%;1,0000%
07/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,02521008403361;4,02676560131104;1,025210084;2,1356896976;1,025210084;3135659,36254396;-;-;1,025210084;0,0033658468;0,00%;1,0000%
08/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01527570789866;3,9277467750493;1,0152757079;2,0831727378;1,0152757079;3058552,9847765;-;-;1,0152757079;0,0032830801;0,00%;1,0000%
09/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,00477064220183;3,86865040155314;1,0047706422;2,0518295884;1,0047706422;3012534,38940921;-;-;1,0047706422;0,0032336833;0,00%;1,0000%
10/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,00693937180424;3,85028208335731;1,0069393718;2,0420875195;1,0069393718;2998230,90253474;-;-;1,0069393718;0,0032183298;0,00%;1,0000%
11/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01414581066377;3,82374767654419;1,0141458107;2,0280143737;1,0141458107;2977568,44800149;-;-;1,0141458107;0,0031961505;0,00%;1,0000%
12/1967;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01859799713877;3,77041214028337;1,0185979971;1,9997266196;1,0185979971;2936035,84089417;-;-;1,0185979971;0,003151569;0,00%;1,0000%
01/1968;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01755617977528;3,70157034558719;1,0175561798;1,9632147571;1,0175561798;2882428,4449228;-;-;1,0175561798;0,0030940263;0,00%;1,0000%
02/1968;105;-;1050;1050;FALSE;-;-;1;1E-06;1,01449275362319;3,6377061229235;1,0144927536;1,9293428669;1,0144927536;2832697,10529335;-;-;1,0144927536;0,0030406442;0,00%;1,0000%
03/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,01462585034014;3,58573889259603;1,0146258503;1,901780826;1,0146258503;2792230,00378916;-;-;1,0146258503;0,0029972064;0,00%;1,0000%
04/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,01877304726785;3,53405040034607;1,0187730473;1,8743666203;1,0187730473;2751979,95680192;-;-;1,0187730473;0,0029540016;0,00%;1,0000%
05/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,02665350444225;3,4689280500929;1,0266535044;1,8398274526;1,0266535044;2701268,90791054;-;-;1,0266535044;0,0028995679;0,00%;1,0000%
06/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,02852564102564;3,37886934110011;1,028525641;1,7920627014;1,028525641;2631139,81126285;-;-;1,028525641;0,0028242907;0,00%;1,0000%
07/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,02243689622935;3,28515810041518;1,0224368962;1,7423607443;1,0224368962;2558166,47277661;-;-;1,0224368962;0,0027459604;0,00%;1,0000%
08/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,01828710758915;3,2130668528596;1,0182871076;1,7041254582;1,0182871076;2502028,71415426;-;-;1,0182871076;0,0026857016;0,00%;1,0000%
09/1968;129,6;-;1296;1296;FALSE;-;-;1;1E-06;1,01406764441784;3,15536436522966;1,0140676444;1,6735215888;1,0140676444;2457095,54359177;-;-;1,0140676444;0,0026374699;0,00%;1,0000%
